Adjective,Race
Samoan,Asian
Bangladeshi,Asian
Bhutanese,Asian
Bruneian,Asian
Burmese,Asian
Cambodian,Asian
Chinese,Asian
Timorese,Asian
Fijian,Asian
Hong Kong,Asian
Cantonese,Asian
Hong Konger,Asian
Indian,Asian
Indonesian,Asian
Japanese,Asian
Korean,Asian
Lao,Asian
Laotian,Asian
Malaysian,Asian
Nepali,Asian
Nepalese,Asian
Pakistani,Asian
Palauan,Asian
Filipino,Asian
Philippine,Asian
Samoan,Asian
Singapore,Asian
Singaporean,Asian
Sri Lankan,Asian
Taiwanese,Asian
Formosan,Asian
Thai,Asian
Timorese,Asian
Tokelauan,Asian
Tongan,Asian
Vietnamese,Asian
Asian,Asian
Pacific Islander,Asian
Cook,Asian
Kazakhstani,Asian
Kazakh,Asian
Kiribati,Asian
Kyrgyzstani,Asian
Kyrgyz,Asian
Kirgiz,Asian
Kirghiz,Asian
Micronesian,Asian
Monégasque,Asian
Monacan,Asian
Mongolian,Asian
Tajikistani,Asian
Turkmen,Asian
Tuvaluan,Asian
Uzbekistani,Asian
Uzbek,Asian
Ni-Vanuatu,Asian
Vanuatuan,Asian
Hawaiian,Asian
Guamanian,Asian
Macanese,Asian
Maldivian,Asian
Solomon Island,Asian
Burmese,Asian
Myanma,Asian
Dominican,Black
Dominican,Black
Equatorial Guinean,Black
Equatoguinean,Black
Eritrean,Black
Swazi,Black
Swati,Black
Ethiopian,Black
Gabonese,Black
Gambian,Black
Ghanaian,Black
Guinean,Black
Bissau-Guinean,Black
Haitian,Black
Ivorian,Black
Jamaican,Black
Kenyan,Black
Liberian,Black
Mozambican,Black
Namibian,Black
Nigerian,Black
Papua New Guinean,Black
Papuan,Black
Rwandan,Black
Senegalese,Black
Sierra Leonean,Black
Somali,Black
Sudanese,Black
Tanzanian,Black
Togolese,Black
Ugandan,Black
Zambian,Black
Zanzibari,Black
Zimbabwean,Black
Black,Black
South African,Black
Malagasy,Black
Malawian,Black
Malian,Black
Malinese,Black
Mauritanian,Black
Mauritian,Black
african american,Black
Argentine,Hispanic
Argentinian,Hispanic
Belizean,Hispanic
Brazilian,Hispanic
Chilean,Hispanic
Colombian,Hispanic
Costa Rican,Hispanic
Cuban,Hispanic
Ecuadorian,Hispanic
Salvadoran,Hispanic
Guatemalan,Hispanic
Honduran,Hispanic
Mexican,Hispanic
Nicaraguan,Hispanic
Panamanian,Hispanic
Paraguayan,Hispanic
Peruvian,Hispanic
Puerto Rican,Hispanic
Uruguayan,Hispanic
Venezuelan,Hispanic
Hispanic,Hispanic
Bolivian,Hispanic
Latino,Hispanic
Israeli,Jewish
Israelite,Jewish
Jewish,Jewish
Afghan,Middle Eastern
Algerian,Middle Eastern
Azerbaijani,Middle Eastern
Azeri,Middle Eastern
Bahraini,Middle Eastern
Egyptian,Middle Eastern
Iranian,Middle Eastern
Persian,Middle Eastern
Iraqi,Middle Eastern
Jordanian,Middle Eastern
Lebanese,Middle Eastern
Libyan,Middle Eastern
Moroccan,Middle Eastern
Omani,Middle Eastern
Palestinian,Middle Eastern
Qatari,Middle Eastern
Sahrawi,Middle Eastern
Sahrawian,Middle Eastern
Saudi,Middle Eastern
Saudi Arabian,Middle Eastern
Syrian,Middle Eastern
Tunisian,Middle Eastern
Turkish,Middle Eastern
Emirati,Middle Eastern
Emirian,Middle Eastern
Emiri,Middle Eastern
Yemeni,Middle Eastern
Middle Eastern,Middle Eastern
Kuwaiti,Middle Eastern
Native American,Native American
American Indian,Native American
Albanian,White
Andorran,White
Armenian,White
Australian,White
Austrian,White
Belarusian,White
Belgian,White
Herzegovinian,White
Bosnian,White
BIOT,White
Bulgarian,White
Canadian,White
Croatian,White
Czech,White
Danish,White
English,White
Estonian,White
European,White
Finnish,White
French,White
Georgian,White
German,White
Greek,White
Hellenic,White
Greenlandic,White
Hungarian,White
Magyar,White
Icelandic,White
Irish,White
Manx,White
Italian,White
Latvian,White
Lettish,White
Liechtensteiner,White
Lithuanian,White
Luxembourgish,White
Moldovan,White
Dutch,White
New Zealand,White
Macedonian,White
Norwegian,White
Polish,White
Portuguese,White
quebecois,White
Romanian,White
Russian,White
Scottish,White
Serbian,White
Slovak,White
Slovenian,White
Spanish,White
Swedish,White
Swiss,White
Ukrainian,White
British,White
United Kingdom,White
UK,White
American,White
United States,White
U.S.,White
Vatican,White
Welsh,White
Caucasian,White
White,White
Anglo,White
Mediterranean ,White
Non Hispanic,White
French-Canadian,White
Faroese,White
Gibraltar,White
Montenegrin,White
Kosovar,White
Kosovan,White
Maltese,White
Sammarinese,White
English,White
Ameriasian,"White, Asian"
Arab,Middle Eastern
East Asian,Asian
eastern european,White
northern european,White
south asia,Asian
Asia,Asian
Europe,White
Africa,Black
South American,Hispanic
german/austrian,White
irish english german,White
scandinavian,White
"white, american",White
western european,White
asia - indian,Asian
european american,White
european jew,Jewish
"asia, white",Asian
black american,Black
cherokee indian,Native American
european-american,White
"caucasian, jewish",Jewish
"polish, irish, scotch, wash",White
